gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
il_19130,31.70572122,34.72475638,GUVRIN - SHAFIR,Israel,195.1327533759436
il_19160,31.70493054,34.84324571,HAELA - TEL ZAFIT,Israel,294.3046314788411
il_19178,31.78176383,34.68344309,HAELA - GAN YAVNE,Israel,427.6574761121244
il_19180,31.7818872,34.66969647,LAKHISH - YAVNE-ASHQELON ROAD,Israel,977.7343532561468
il_2105,33.05148391,35.10663703,KEZIV - HAZIV BRIDGE,Israel,121.57241108146624
il_21105,31.46906047,34.77685349,SHIQMA - TEL MILHA,Israel,41.461126256573095
il_21120,31.52828282,34.78121661,ADORAYIM - RAILWAY BRIDGE,Israel,199.81290483529511
il_21130,31.54958033,34.62782645,SHIQMA - BEROR HAYIL,Israel,371.3338704129715
il_23103,30.90813229,34.85139921,HARO'A - HAR HANEGEV 6,Israel,16.350910722081508
il_23105,30.9548917,34.69522757,BESOR - NEW NIZZANA ROAD,Israel,167.19721315337625
il_23134,31.22728047,34.79889505,BEQA' - BE'ER-SHEVA,Israel,95.23259889379784
il_23137,31.22983565,34.74602753,BE'ER-SHEVA - HAZERIM,Israel,1209.419868559513
il_23150,31.3855742,34.45021776,BESOR - REIM,Israel,2553.5979751757627
il_23160,31.40013074,34.44571689,GERAR - RE'IM,Israel,692.1578930633879
il_25191,30.91404774,34.52551567,LAVAN - NIZANA ROAD,Israel,203.4399117849555
il_30118,33.2509308,35.67319844,SHION,Israel,42.20489944779291
il_30120,33.23862652,35.62444332,SENIR - MA'YAN BARUKH,Israel,598.5278258928558
il_30122,33.22449344,35.61502134,SENIR - DAN ROAD BRIDGE,Israel,602.6624920412493
il_30124,33.24044753,35.76217553,SA'AR - MASAADA,Israel,23.70664704986921
il_30125,33.22882525,35.65800757,HERMON - SHA'AR YASHUV,Israel,129.69650266714424
il_30128,33.21629629,35.64188528,HERMON - KEFAR SZOLD ROAD,Israel,146.45088892016176
il_30131,33.24529033,35.64759854,DAN - THE NATURE RESERVE,Israel,18.029358136601125
il_30136,33.18193395,35.61580922,JORDAN - SEDE NEHEMYA,Israel,843.06389503735
il_30145,33.28321039,35.58270527,IYON - METULLA,Israel,29.421511581679543
il_30155,33.14848191,35.64009079,OREVIM - LAHAVOT HABASHAN,Israel,42.82308919854515
il_30165,33.0419491,35.57110473,DISHON - ROSH PINNA-METULLA ROAD,Israel,87.46819276751911
il_30170,33.02234731,35.58311801,HAZOR - AYYELET HASHAHAR,Israel,33.93577140707569
il_30175,33.04061063,35.62923932,JORDAN - OBSTACLE BRIDGE,Israel,1389.1189029451325
il_31110,32.85710841,35.52468275,AMMUD - TIBERIAS-ROSH PINNA ROAD,Israel,122.87818308770738
il_31115,32.84584512,35.51444116,ZALMON - TIBERIAS-ROSH PINNA ROAD,Israel,97.36927235832324
il_31155,32.90800843,35.64597508,MESHUSHIM - DARDARA,Israel,156.36726493080184
il_31160,32.89964264,35.65057226,YEHUDIYA - BET ZAYDA ROAD,Israel,76.34536031952072
il_31163,32.8896289,35.65952054,DALIYOT - BET ZAYDA ROAD,Israel,104.2207293218487
il_31165,32.82911481,35.65273977,SAMAK - -200 M ELEVATION,Israel,99.0534907836404
il_31198,32.71130056,35.57219945,JORDAN - DEGANYA,Israel,2584.740317309507
il_34160,32.68550468,35.63667741,YARMOUK - BELOW GATE 121,Israel,223.15511420533292
il_38175,32.50647675,35.51853909,HAROD - BET SHE'AN NEAR 90 ROUD,Israel,177.1677110317777
il_4110,32.99988018,35.13064157,GA'TON - BEN 'AMMI,Israel,34.010388918390255
il_48125,31.60021983,35.36559947,DARGA,Israel,74.19185535846152
il_48130,31.58683404,35.3523963,TEQOA,Israel,132.39494685381376
il_48185,31.29582957,35.37494201,RAHAF,Israel,73.64764654514268
il_48188,31.20263028,35.36425035,BOQEQ,Israel,19.92152518877594
il_48192,31.13461549,35.34937286,HEMAR - DOWNSTREAM THE CLIFF,Israel,353.4373860888961
il_5110,32.98390471,35.08644874,BET HA'EMEQ - SHAVE ZIYYON,Israel,67.28146875637783
il_55106,30.77892603,34.77665729,ZIN UPPER - 'AVEDAT,Israel,120.74043747183131
il_55140,30.80323295,34.9807157,ZIN - MASOS,Israel,665.6935397583095
il_55165,30.95947708,35.04535768,MAMSHIT,Israel,58.612519879995546
il_56140,30.61377387,34.85887525,RAMON,Israel,108.4998851027154
il_56150,30.57613742,35.04807223,NEQAROT - UPPER,Israel,709.3760864039142
il_56164,30.65322645,35.21239421,NEQAROT - ARAVA ROAD,Israel,951.2630740013796
il_57125,30.09547674,34.72724286,PEHAMI,Israel,51.05132828943523
il_57130,30.12251531,34.7208869,PARAN - WESTERN BORDER,Israel,2454.5786032922656
il_57160,30.37609976,34.90950529,AROD,Israel,152.0928173981488
il_57165,30.32515586,34.97393898,PARAN - THE BOTTLENECK,Israel,3358.6377738351307
il_57180,30.31134182,35.0105467,ZIHOR,Israel,162.1796630627839
il_57190,30.39311109,35.15501913,PARAN - ARAVA ROAD,Israel,3610.91914649406
il_58150,30.19171758,35.00863207,HIYON- 40 ROAD,Israel,735.7632036479417
il_58175,30.15351429,35.0205201,QEZEV- 40 ROAD,Israel,63.00178882037832
il_59185,30.77733104,35.31360938,UBA,Israel,112.18584116761734
il_59195,30.9423622,35.36747838,EMZIYAHY-TAMAR SPRING UPSTREAM,Israel,131.05072832193883
il_60105,30.0890329,35.11448705,YA'ALON - KIBBUZ YAHAL,Israel,21.29894144049856
il_60110,30.07472146,35.13718323,SOUTH ARAVA-YAEL,Israel,22.53177273605412
il_60140,29.78980259,34.97622072,TIMNA - PARK,Israel,19.58033805831714
il_60150,29.67451892,34.92390983,RAHAM,Israel,42.5473362994469
il_60170,29.59307166,34.91438107,NETAFIM,Israel,36.416207113454725
il_60190,29.52625745,34.91377764,SHELOMO-EILAT,Israel,14.196866169651456
il_7105,32.89572071,35.1835797,HILLAZON - YAS-UR,Israel,155.5959434227429
il_8130,32.63778416,35.11263174,HA'SHOFET - HAZORE'A,Israel,11.48972337142356
il_8140,32.67958648,35.13943603,BET LEHEM,Israel,20.74693950370001
il_8146,32.72140599,35.09736691,QISHON - THE QUARRY,Israel,690.1244213441886
il_8155,32.77008889,35.15486721,ZIPPORI - TEL ALIL,Israel,242.9273219010701
