gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
il_34160,1.124483231,6.854743326,6.095905336,0,-0.716637156,0.908361701,0.064202601,1.677996422,0.835112936,11.52124646
il_38175,1.125152635,7.061193703,6.275765156,0,-0.726983047,0.872602645,0.06440794,1.584175084,0.833607118,11.44642857
il_4110,1.716465435,6.465880219,3.766973741,0,-0.615787453,1.140465118,0.065776865,1.62605753,0.783367556,9.458677686
il_48125,0.841083504,4.154748118,4.939756987,0,-0.611439981,1.268248425,0.062286105,1.630824373,0.852772074,12.36011905
il_48130,0.792879535,4.419204654,5.573614227,0,-0.658846457,1.144334432,0.062354552,1.629695886,0.857905544,12.69908815
il_48185,0.400474333,4.467548939,11.15564363,0,-0.831990753,0.59768259,0.055373032,1.561776062,0.913689254,18.56606398
il_48188,0.339421629,4.496510609,13.24756652,0,-0.853900463,0.549073686,0.054825462,1.570588235,0.922313484,20.44764795
il_48192,0.320691307,4.805353183,14.98435746,0,-0.877249728,0.449036361,0.055099247,1.61,0.925598905,21.19592476
il_5110,1.69431896,6.521236824,3.848883817,0,-0.621471268,1.130630408,0.065366188,1.62139219,0.785900068,9.592314119
il_55106,0.214494867,4.722086242,22.01491494,0,-0.924283718,0.262781216,0.04661191,1.4397463,0.95065024,28.2296748
il_55140,0.224313484,4.669200548,20.81551437,0,-0.918418427,0.28824172,0.048323066,1.473903967,0.947433265,27.35573123
il_55165,0.284476386,4.83515948,16.99669891,0,-0.894806619,0.39080507,0.052429843,1.560081466,0.93340178,23.51206897
il_56140,0.207147159,4.808880903,23.21480495,0,-0.928446868,0.251481066,0.046543463,1.456102784,0.952566735,29.36075949
il_56150,0.199663244,4.959824093,24.84094711,0,-0.931963917,0.239147052,0.046201232,1.480263158,0.953798768,30.49234136
il_56164,0.195390828,4.924429843,25.20297338,0,-0.931915554,0.243979655,0.045653662,1.462719298,0.955167693,31.08017817
il_57125,0.139568789,5.32084668,38.12347114,0,-0.956128304,0.158274207,0.041136208,1.458737864,0.968651608,41.86982249
il_57130,0.129308693,5.265039014,40.71682194,0,-0.959920402,0.138696623,0.038398357,1.420253165,0.972073922,45.51923077
il_57160,0.190673511,4.946508556,25.9422954,0,-0.935390735,0.228827651,0.045516769,1.481069042,0.95578371,31.59276018
il_57165,0.138803559,5.204514716,37.49554223,0,-0.95608427,0.153642275,0.040109514,1.418886199,0.969336071,42.02373887
il_57180,0.150186858,5.077265572,33.80632386,0,-0.948586672,0.188963463,0.04421629,1.461538462,0.96386037,38.26630435
il_57190,0.140104038,5.189743326,37.04206808,0,-0.955335348,0.157045187,0.040314853,1.426150121,0.969199179,42.14285714
il_58150,0.143772758,5.041585216,35.06634548,0,-0.949316534,0.192849335,0.04072553,1.4875,0.967761807,42.97568389
il_58175,0.153689938,4.87779603,31.73790087,0,-0.942097216,0.224527434,0.043600274,1.505910165,0.963791923,39.44257703
il_59185,0.216200548,4.801847365,22.21015358,0,-0.917130874,0.33834138,0.046064339,1.579812207,0.952156057,31.33108108
il_59195,0.206328542,4.43872553,21.51290115,0,-0.909207462,0.357799889,0.049623546,1.58643326,0.948870637,29.68522484
il_60105,0.169434634,4.794965092,28.29979317,0,-0.932990903,0.273438507,0.044695414,1.565947242,0.959548255,36.1314433
il_60110,0.169434634,4.794965092,28.29979317,0,-0.932990903,0.273438507,0.044695414,1.565947242,0.959548255,36.1314433
il_60140,0.138548255,4.855482546,35.04542558,0,-0.946403318,0.216462236,0.040246407,1.511568123,0.969267625,44.67192429
il_60150,0.137109514,5.244757016,38.25232007,0,-0.953105219,0.182789063,0.040041068,1.451612903,0.970020534,44.42633229
il_60170,0.131319644,5.572858316,42.43735471,0,-0.959052436,0.156309811,0.039356605,1.44836272,0.971457906,45.34504792
il_60190,0.116635181,5.537633128,47.47823995,0,-0.962463728,0.150780999,0.037782341,1.479892761,0.974264203,50.83571429
il_7105,1.529555099,6.842555099,4.473559078,0,-0.653738359,1.070993566,0.065023956,1.640759931,0.800616016,9.988898377
il_8130,1.304827515,7.564902122,5.797626148,0,-0.745040212,0.800707985,0.064476386,1.607508532,0.817864476,10.68783542
il_8140,1.42238809,7.235882272,5.08713643,0,-0.699849911,0.953523998,0.065229295,1.604377104,0.813141684,10.3125
il_8146,1.301465435,7.169763176,5.508992391,0,-0.705240529,0.936357139,0.065639973,1.585123967,0.816495551,10.62243989
il_8155,1.402149897,7.008833676,4.998633662,0,-0.68108185,1.008154498,0.064339493,1.637630662,0.812457221,10.39404553
