,Coefficient_of_Variation,parameter explained,"use (0=no, 1=yes, 2=consider)",comments
snw_pc_s04,,,0,
snw_pc_s05,,,0,
snw_pc_s06,,,0,
gla_pc_sse,,,0,
snw_pc_s07,,,0,
snw_pc_s08,,,0,
snw_pc_s09,,,0,
snw_pc_s10,,,0,
snw_pc_s11,,,0,
snw_pc_s12,,,0,
rev_mc_usu,,,0,
dor_pc_pva,,,0,
